worker_id,criteria,accuracy,n_votes
A1665VCUSZL9YT,use of tech vote,0.842105263158,19
A1JGZD9FUDYJ30,older adult vote,0.833333333333,12
A2PZDX8PIK73K3,use of tech vote,0.860759493671,79
A1J4AZL6MZ675U,use of tech vote,0.9375,32
A3QX9ABC1DVMQG,older adult vote,0.75,24
ADBE9G8EYUW6A,intervention Vote,0.8,5
AL8NYDL4JOYL3,use of tech vote,0.777777777778,18
A35K3CN8ZVW6JT,use of tech vote,0.7,10
A29Y7ACFAJV9IS,use of tech vote,0.736842105263,19
A2SC7SYQ22RJBR,older adult vote,0.875,16
A224B7BAQ0MZSN,older adult vote,1.0,8
A21I4DTJGWJYQJ,intervention Vote,0.711538461538,52
APQMFEY1KUL6A,intervention Vote,0.857142857143,7
APQMFEY1KUL6A,older adult vote,1.0,7
A2QVKJW6Z11ZGD,use of tech vote,0.8,5
AB66CTVQ90RCV,use of tech vote,0.860215053763,93
AB66CTVQ90RCV,older adult vote,1.0,25
A2TBXASXZIRNNW,intervention Vote,0.8,5
A1DABMXVWWL0TR,intervention Vote,0.8,5
A3HJNOCKXFOOVP,older adult vote,0.833333333333,30
A14NSVH4W27CK0,older adult vote,1.0,6
A2416IYI3FQMAG,older adult vote,0.826086956522,23
MISSING,older adult vote,0.785714285714,14
A20FCMI1MPEEJN,older adult vote,0.8,5
A2COCSUGZV28X,intervention Vote,0.75,8
A1QKB93D6X2TYL,older adult vote,0.923076923077,52
A142ZRU284W9O,use of tech vote,0.885714285714,70
A142ZRU284W9O,older adult vote,0.833333333333,30
AT6KZZ2OTABWK,intervention Vote,0.756097560976,41
APV0K0H4L16M0,use of tech vote,0.9,10
A3F9N2P4NUUR7S,intervention Vote,0.724137931034,29
ARVXIBUCA8WDZ,intervention Vote,0.714285714286,7
A1UE726OT3JLZ9,use of tech vote,0.842105263158,19
A1UE726OT3JLZ9,older adult vote,0.833333333333,12
