INPUT:hyponym	INPUT:hypernym	INPUT:genitive	GOLDEN:judgement	HINT:text
база	основа	основы	false	Это синонимы.
ветер	катаклизм	катаклизма	false	Катаклизм — это что-то страшное. Ветер страшный?
возраст	фактор	фактора	true	Возрастной фактор.
генерал	человек	человека	true	Люди бывают генералами.
грудь	млечный	млечного	false	Грудь не является разновидностью чего-то млечного.
грудь	сущность	сущности	true	Грудь — это сущность.
грудь	часть_тела	части_тел	true	Грудь — это часть тела, но не разновидность тела.
губа	врожденных_дефектов	врождённых_дефектов	false	Губа не является дефектом.
доктор	специальность	специальности	true	Люди бывают докторами.
доктор	человек…	человек…	true	Люди бывают докторами.
дочь	дети_(сыновья_и_дочери)	детей_(сынов_и_дочерей)	true	Как правило, дети — это сыновья и дочери.
дочь	дитя	дитяти	true	Как правило, дети — это сыновья и дочери.
дочь	невестка	невестки	true	Как правило, невеста — это чья-то дочь.
желание	бессознательное –	бессознательное –	true	В бессознательное вытесняются тайные желания.
защита	помощь	помощи	true	Защита — это разновидность помощи.
знание	информация	информации	true	Философы спорят об этом до сих пор. Считаем, что знание — это проверенная информация.
зрение	ощущение	ощущения	true	Зрение — это одно из данных нам ощущений.
кабинет	место	места	true	Да.
нос	анатомическим_признакам	анатомического_признаков	false	Нос не может быть признаком. Признаком может быть его размер и цвет.
огонь	аллотроп	аллотропа	false	Аллотропы — это виды химических элементов. Огонь — не химический элемент.
оружие	предмет	предмета	true	Оружие — это предмет.
папа	родительский	родительского	true	Родители бывают отцами (папами).
папа	человека	человека	true	Люди бывают отцами (папами).
парень	мужской	мужского	true	Как правило, парни — это мужчины.
парень	мужчина	мужчины	true	Как правило, парни — это мужчины.
площадь	помещение	помещения	false	Помещение внутри, а снаружи площадь.
понятие	мера	меры	false	Слова никак не связаны.
понятие	мышление	мышления	false	Люди мыслят понятиями, но нужной связи здесь нет.
председатель	лицо	лица	true	Председатель — это физическое лицо.
продукт	предмет	предмета	true	Продукт — это предмет.
продукт	свежеобжаренный	свежеобжаренного	false	Направление связи перепутано. Поэтому нет.
радость	переживание	переживания	true	Радость — это эмоция, переживание.
радость	эмоция	эмоции	true	Радость — это эмоция, переживание.
ребята	люди	людей	false	Это синонимы.
содержание	выплата	выплаты	false	Слова связаны в контексте трудовых отношений. Содержание — это разновидность зарплаты, но не её выплаты.
сознание	аспект	аспекта	false	Сложная пара. Бывают аспекты сознания, но не бывает сознания аспекта.
солдат	специалист	специалиста	true	Люди бывают солдатами.
строительство	отрасли_экономики	отраслей_экономик	true	Да.
текст	предмет	предмета	false	Текст — это не предмет.
текст	текста	текста	false	Это одно и то же.
удар	воздействие	воздействия	true	Удар — физическое воздействие.
удар	тактическому_приему	тактического_приёма	true	Удар — тактический приём в шахматах и кое-где ещё.
услуга	помощь	помощи	false	Направление связи перепутано. Помощь — это услуга, но не наоборот.
услуга	предпринимательской_деятельности	предпринимательской_деятельностей	true	Предприятия оказывают услуги.
ухо	радиоизлучателем	радиоизлучателя	false	Никак нет.
участок	имущество	имущества	true	Участок — недвижимость.
участок	недвижимое_имущество	недвижимого_имущества	true	Участок — недвижимость.
